Your Publication's Number|Title|Earliest Priority Date|Publication Date|Assignee(s)|Inventors|CPC Codes
US20090326340_A1|Patient Monitor Alarm System And Method|6/30/2008|12/31/2009|COVIDIEN|"Amundson, Scott (Oakland);
Wang, Hui (San Ramon)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G08B: SIGNALLING OR CALLING SYSTEMS; ORDER TELEGRAPHS; ALARM SYSTEMS"
US7880884_B2|System and method for coating and shielding electronic sensor components|6/30/2008|2/1/2011|COVIDIEN|"Medina, Casey V. (Lakewod);
Medina, Casey V. (Lakewood)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US7887345_B2|Single use connector for pulse oximetry sensors|6/30/2008|2/15/2011|COVIDIEN|"Wong, Marvin (Fremont);
Ollerdessen, Albert (Danville)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H01R: ELECTRICALLY-CONDUCTIVE CONNECTIONS; STRUCTURAL ASSOCIATIONS OF A PLURALITY OF MUTUALLY-INSULATED ELECTRICAL CONNECTING ELEMENTS; COUPLING DEVICES; CURRENT COLLECTORS"
US8071935_B2|Optical detector with an overmolded faraday shield|6/30/2008|12/6/2011|COVIDIEN|"Besko, David P. (Thornton);
Peters, Daniel J. (Longmont)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8862194_B2|Method for improved oxygen saturation estimation in the presence of noise|6/30/2008|10/14/2014|COVIDIEN|Baker, Jr. Clark R. (Newman)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9895068_B2|Pulse oximeter with wait-time indication|6/30/2008|2/20/2018|COVIDIEN|"Baker, Clark R. (Newman);
Bordon, Daryl (Livermore)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8469956_B2|Variable resistor jaw|7/21/2008|6/25/2013|COVIDIEN|"Wham, Robert H. (Boulder);
Mckenna, Nicole (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8608739_B2|Electrosurgical devices, systems and methods of using the same|7/22/2008|12/17/2013|COVIDIEN|"Heard, David N. (Boulder);
Sartor, Joe D. (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8328804_B2|Suction coagulator|7/24/2008|12/11/2012|COVIDIEN|"Heard, David N. (Boulder);
Sartor, Joe D. (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20100030206_A1|Tissue Ablation System With Phase-Controlled Channels|7/29/2008|2/4/2010|COVIDIEN|"Brannan, Joseph D. (Erie);
Elizeh, Behzad Ghorbani (Boulder)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61N: ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY"
US9700366_B2|Polyphase electrosurgical system and method|8/1/2008|7/11/2017|COVIDIEN|Paulus, Joseph A. (Louisville)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20100036415_A1|Surgical needle with reduced contact area|8/7/2008|2/11/2010|COVIDIEN|Cabezas, Alan (Seymour)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
B21G: MAKING NEEDLES, PINS OR NAILS OF METAL"
US8172836_B2|Electrosurgical system having a sensor for monitoring smoke or aerosols|8/11/2008|5/8/2012|COVIDIEN|Ward, Arlen K. (Thornton)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8226642_B2|Surgical gas plasma ignition apparatus and method|8/14/2008|7/24/2012|COVIDIEN|"Arts, Gene H. (Berthoud);
Arts, Gene H. (Berhoud)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H05H: PLASMA TECHNIQUE ; PRODUCTION OF ACCELERATED ELECTRICALLY-CHARGED PARTICLES OR OF NEUTRONS ; PRODUCTION OR ACCELERATION OF NEUTRAL MOLECULAR OR ATOMIC BEAMS"
US8162973_B2|Method of transferring pressure in an articulating surgical instrument|8/15/2008|4/24/2012|COVIDIEN|Cunningham, James S. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8257387_B2|Method of transferring pressure in an articulating surgical instrument|8/15/2008|9/4/2012|COVIDIEN|Cunningham, James S. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8182480_B2|Insulated tube for suction coagulator|8/19/2008|5/22/2012|COVIDIEN|Huseman, Mark (Broomfield)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9603652_B2|Electrosurgical instrument including a sensor|8/21/2008|3/28/2017|COVIDIEN|"Odom, Darren (Longmont);
Carlton, John D. (Las Vegas)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8211098_B2|Microwave antenna assembly having a dielectric body portion with radial partitions of dielectric material|8/25/2008|7/3/2012|COVIDIEN|Paulus, Joseph A. (Louisville)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H01Q: ANTENNAS, i.e. RADIO AERIALS"
US9173706_B2|Dual-band dipole microwave ablation antenna|8/25/2008|11/3/2015|COVIDIEN|Rossetto, Francesca (Longmont)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20100057081_A1|Tissue Fusion Jaw Angle Improvement|8/28/2008|3/4/2010|COVIDIEN|Hanna, D. Alan (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8251987_B2|Microwave antenna|8/28/2008|8/28/2012|COVIDIEN|Willyard, Richard A. (Longmont)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
H01Q: ANTENNAS, i.e. RADIO AERIALS"
US8317787_B2|Tissue fusion jaw angle improvement|8/28/2008|11/27/2012|COVIDIEN|Hanna, D. Alan (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8784417_B2|Tissue fusion jaw angle improvement|8/28/2008|7/22/2014|COVIDIEN|Hanna, D. Alan (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8795274_B2|Tissue fusion jaw angle improvement|8/28/2008|8/5/2014|COVIDIEN|Hanna, D. Alan (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8303581_B2|Catheter with remotely extendible instruments|9/2/2008|11/6/2012|COVIDIEN|"Arts, Gene H. (Berthoud);
Bahney, Timothy J. (Portland);
Kerr, Duane E. (Berthoud);
Bahney, Timoth J. (Portland);
Carlton, John D. (Las Vegas);
Nau, William (Longmont)"|"A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US8394086_B2|Microwave shielding apparatus|9/3/2008|3/12/2013|COVIDIEN|"Behnke, Robert J. (Erie);
Mcmunigal, Tom E. (Mead)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61N: ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY"
US8403924_B2|Shielding for an isolation apparatus used in a microwave generator|9/3/2008|3/26/2013|COVIDIEN|"Behnke, Robert J. (Erie);
Mcmunigal, Tom E. (Mead)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61N: ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY"
US20100063500_A1|Apparatus, System and Method for Performing an Electrosurgical Procedure|9/5/2008|3/11/2010|COVIDIEN|Muszala, Melissa J. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8287529_B2|Electrosurgical apparatus with high speed energy recovery|9/5/2008|10/16/2012|COVIDIEN|Orszulak, James H. (Nederland)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8377053_B2|Electrosurgical apparatus with high speed energy recovery|9/5/2008|2/19/2013|COVIDIEN|Orszulak, James H. (Nederland)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8708897_B2|Tunneling system|9/8/2008|4/29/2014|COVIDIEN|"Braga, Richard (Taunton);
Chelak, Todd (Westborough);
Sansoucy, Michael (Wrentham);
Callahan, Mark (Medway)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US8979744_B2|Tunneling system|9/8/2008|3/17/2015|COVIDIEN|"Haarala, Brett (Framingham);
Braga, Richard (Taunton);
Chelak, Todd (Westborough);
Callahan, Mark (Medway)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US8398555_B2|System and method for detecting ventilatory instability|9/10/2008|3/19/2013|COVIDIEN|"Ochs, James (Seattle);
Batchelder, Keith (New York);
Pinto, Yu-Jung (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8303582_B2|Electrosurgical instrument having a coated electrode utilizing an atomic layer deposition technique|9/15/2008|11/6/2012|COVIDIEN|Cunningham, James S. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8235982_B2|Electrosurgical system having a sensor for monitoring smoke or aerosols|8/11/2008|8/7/2012|COVIDIEN|Ward, Arlen K. (Thornton)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US7896214_B2|Tissue stop for surgical instrument|9/23/2008|3/1/2011|COVIDIEN|Farascioni, David (Bethel)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8628544_B2|Knife bar for surgical instrument|9/23/2008|1/14/2014|COVIDIEN|Farascioni, David (Bethel)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20100076430_A1|Electrosurgical Instrument Having a Thumb Lever and Related System and Method of Use|9/24/2008|3/25/2010|COVIDIEN|Romero, Paul R. (Loveland)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20100076319_A1|Pathlength-Corrected Medical Spectroscopy|9/25/2008|3/25/2010|COVIDIEN|"Debreczeny, Martin (Danville);
Mannheimer, Paul (Danville)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20100071696_A1|Model-predictive online identification of patient respiratory effort dynamics in medical ventilators|9/25/2008|3/25/2010|COVIDIEN|Jafari, Mehdi M. (Laguna Hills)|"A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION"
US8257274_B2|Medical sensor and technique for using the same|9/25/2008|9/4/2012|COVIDIEN|Medina, Casey V. (Westminister)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A41D: OUTERWEAR; PROTECTIVE GARMENTS; ACCESSORIES;
A42B: HATS; HEAD COVERINGS"
US8364220_B2|Medical sensor and technique for using the same|9/25/2008|1/29/2013|COVIDIEN|Sandmore, Donald (Longmont)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G01N: INVESTIGATING OR ANALYSING MATERIALS BY DETERMINING THEIR CHEMICAL OR PHYSICAL PROPERTIES;
A42B: HATS; HEAD COVERINGS"
US8535312_B2|Apparatus, system and method for performing an electrosurgical procedure|9/25/2008|9/17/2013|COVIDIEN|Horner, Glenn A. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8968314_B2|Apparatus, system and method for performing an electrosurgical procedure|9/25/2008|3/3/2015|COVIDIEN|Allen, Iv James D. (Broomfield)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9375254_B2|Seal and separate algorithm|9/25/2008|6/28/2016|COVIDIEN|Heard, David N. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20100081912_A1|Ultrasound-Optical Doppler Hemometer and Technique for Using the Same|9/30/2008|4/1/2010|COVIDIEN|"Baker, Jr. Clark R. (Newman);
Mckenna, Edward M. (Boulder)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G01S: RADIO DIRECTION-FINDING; RADIO NAVIGATION; DETERMINING DISTANCE OR VELOCITY BY USE OF RADIO WAVES; LOCATING OR PRESENCE-DETECTING BY USE OF THE REFLECTION OR RERADIATION OF RADIO WAVES; ANALOGOUS ARRANGEMENTS USING OTHER WAVES"
US20100081904_A1|Device And Method For Securing A Medical Sensor to An Infant's Head|9/30/2008|4/1/2010|COVIDIEN|Medina, Casey V. (Westminister)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8174267_B2|Intermittent microwave energy delivery system|9/30/2008|5/8/2012|COVIDIEN|"Brannan, Joseph D. (Erie);
Paulus, Joseph A. (Louisville)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8180433_B2|Microwave system calibration apparatus, system and method of use|9/30/2008|5/15/2012|COVIDIEN|"Brannan, Joseph D. (Erie);
Paulus, Joseph A. (Louisville)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8242782_B2|Microwave ablation generator control system|9/30/2008|8/14/2012|COVIDIEN|"Brannan, Joseph D. (Erie);
Paulus, Joseph A. (Louisville)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H05B: ELECTRIC HEATING; ELECTRIC LIGHTING NOT OTHERWISE PROVIDED FOR"
US8248075_B2|System, apparatus and method for dissipating standing wave in a microwave delivery system|9/30/2008|8/21/2012|COVIDIEN|"Brannan, Joseph D. (Erie);
Paulus, Joseph A. (Louisville)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8287527_B2|Microwave system calibration apparatus and method of use|9/30/2008|10/16/2012|COVIDIEN|"Brannan, Joseph D. (Erie);
Paulus, Joseph A. (Louisville)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61N: ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY"
US8346370_B2|Delivered energy generator for microwave ablation|9/30/2008|1/1/2013|COVIDIEN|"Haley, Kaylen J. (Westminster);
Rick, Kyle R. (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8386000_B2|System and method for photon density wave pulse oximetry and pulse hemometry|9/30/2008|2/26/2013|COVIDIEN|Mckenna, Edward M. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8406865_B2|Bioimpedance system and sensor and technique for using the same|9/30/2008|3/26/2013|COVIDIEN|Mckenna, Edward M. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8417309_B2|Medical sensor|9/30/2008|4/9/2013|COVIDIEN|Price, Thomas (Lakewood)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8423112_B2|Medical sensor and technique for using the same|9/30/2008|4/16/2013|COVIDIEN|"Mckenna, Edward M. (Boulder);
Miller, Douglas Paul (Lakewood);
Besko, David Philip (Thornton);
Besko, David Philip (Thorton)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8532751_B2|Laser self-mixing sensors for biological sensing|9/30/2008|9/10/2013|COVIDIEN|Mckenna, Edward M. (Boulder)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G01S: RADIO DIRECTION-FINDING; RADIO NAVIGATION; DETERMINING DISTANCE OR VELOCITY BY USE OF RADIO WAVES; LOCATING OR PRESENCE-DETECTING BY USE OF THE REFLECTION OR RERADIATION OF RADIO WAVES; ANALOGOUS ARRANGEMENTS USING OTHER WAVES"
US8652064_B2|Sampling circuit for measuring analytes|9/30/2008|2/18/2014|COVIDIEN|"Kadlec, Ron J. (Longmont);
Wood, Jr. Lockett E. (Lyons);
Battista, Jr. John Andrew (Lafayette);
Kadlac, Ron J. (Longmont);
Battista, John Andrew (Lafayette)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8914088_B2|Medical sensor and technique for using the same|9/30/2008|12/16/2014|COVIDIEN|"Mckenna, Edward (Boulder);
Buice, Carl (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8968193_B2|System and method for enabling a research mode on physiological monitors|9/30/2008|3/3/2015|COVIDIEN|"Ochs, James (Seattle);
Amundson, Scott (Oakland);
Li, Li (Milpitas)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G16H: HEALTHCARE INFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR THE HANDLING OR PROCESSING OF MEDICAL OR HEALTHCARE DATA;
Y10S: TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS;
G06F: ELECTRIC DIGITAL DATA PROCESSING"
US9186128_B2|Needle biopsy device|10/1/2008|11/17/2015|COVIDIEN|"Mcweeney, John (Brighton);
Murphy, Brian (Knocknacarra);
Mugan, John (Moycullen)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8142473_B2|Method of transferring rotational motion in an articulating surgical instrument|10/3/2008|3/27/2012|COVIDIEN|Cunningham, James S. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8469957_B2|Apparatus, system, and method for performing an electrosurgical procedure|10/7/2008|6/25/2013|COVIDIEN|Roy, Jeffrey M. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8016827_B2|Apparatus, system, and method for performing an electrosurgical procedure|10/9/2008|9/13/2011|COVIDIEN|Chojin, Edward M. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8636761_B2|Apparatus, system, and method for performing an endoscopic electrosurgical procedure|10/9/2008|1/28/2014|COVIDIEN|"Allen, Iv James D. (Broomfield);
Cunningham, James S. (Boulder);
Chojin, Edward M. (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8070038_B2|Surgical instrument with pivotable jaw member|10/10/2008|12/6/2011|COVIDIEN|Kostrzewski, Stanislaw (Newtown)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8734444_B2|System and method for delivering high current to electrosurgical device|10/10/2008|5/27/2014|COVIDIEN|Kerr, Duane E. (Berthoud)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8852179_B2|Apparatus, system and method for monitoring tissue during an electrosurgical procedure|10/10/2008|10/7/2014|COVIDIEN|"Ward, Arlen K. (Thornton);
Ladtkow, Casey M. (Arvada)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8357142_B2|Connector hub assembly|10/13/2008|1/22/2013|COVIDIEN|Romero, Paul R. (Loveland)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8512328_B2|Antenna assemblies for medical applications|10/13/2008|8/20/2013|COVIDIEN|"Brannan, Joseph D. (Erie);
Rossetto, Francesca (Longmont);
Paulus, Joseph A. (Louisville)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61N: ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY"
US9375272_B2|Antenna assemblies for medical applications|10/13/2008|6/28/2016|COVIDIEN|"Brannan, Joseph D. (Erie);
Rossetto, Francesca (Longmont);
Paulus, Joseph A. (Louisville)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
C08L: COMPOSITIONS OF MACROMOLECULAR COMPOUNDS"
US9113924_B2|Choked dielectric loaded tip dipole microwave antenna|10/17/2008|8/25/2015|COVIDIEN|"Brannan, Joseph D. (Erie);
Bonn, Kenlyn S. (Boulder);
Willyard, Richard A. (Longmont)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61N: ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY"
US8486107_B2|Method of sealing tissue using radiofrequency energy|10/20/2008|7/16/2013|COVIDIEN|Hinton, Kristel L. (Golden)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20090318914_A1|System and method for ablational treatment of uterine cervical neoplasia|6/18/2008|12/24/2009|"COVIDIEN;
TYCO HEALTHCARE"|"Utley, David S. (Redwood City);
Gerberding, Brent C. (San Jose);
Taimisto, Miriam H. (San Jose);
Chung, Winnie (San Jose);
Marler, Jennifer D. (Pleasanton);
Filimon, Viorica (San Jose)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20100121278_A1|Super elastic loop extraluminal materials delivery instrument|11/13/2008|5/13/2010|COVIDIEN|Fowler, David (Cheshire)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8127761_B2|Device for detecting relative humidity in a respiratory circuit|2/18/2008|3/6/2012|COVIDIEN|"Belluzzi, Camillo (Sustinente);
Gallini, Sarah (Finale Emilia);
Solci, Massimiliano (Correggio)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR;
G01N: INVESTIGATING OR ANALYSING MATERIALS BY DETERMINING THEIR CHEMICAL OR PHYSICAL PROPERTIES"
US7886951_B2|Pouch used to deliver medication when ruptured|11/24/2008|2/15/2011|COVIDIEN|Hessler, Thomas R. (Bethel)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US7988672_B2|Access assembly with adjustable seal member|1/9/2008|8/2/2011|COVIDIEN|Heinrich, Russell (Madison)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8784440_B2|Methods and devices for cutting tissue|2/25/2008|7/22/2014|"COVIDIEN;
FOX HOLLOW TECHNOLOGIES;
TYCO HEALTHCARE"|"Lee, Kee (Newark);
Yuen, Phyllis (Fremont);
Doud, Darren (San Jose)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
